uuid,version,date,email,name,title,company,phone,contactpreference,totalscore,topicscores,.,.,.,.,.,questionanswers...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#58dc05981e17d3.79566728,2,2017.Mar.29 19:06:20,me@lllaaa.com,,,,,,3.972222222,3.833333333,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc05981e17d3.79566728,2,2017.Mar.29 19:06:35,me@lllaaa.com,sldfjksldfj,sldflsdhf,lsldfd~lsdfhsdf,23,1,3.972222222,3.833333333,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc05e9cacfc0.38141004,2,2017.Mar.29 19:07:39,lj@hhooo.com,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc05e9cacfc0.38141004,2,2017.Mar.29 19:07:53,lj@hhooo.com,drd-sdfhs,drd-hsdf,sdhfds-dhfsdf,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc0655ef59c8.06754147,2,2017.Mar.29 19:09:27,xx@mm.com,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc0655ef59c8.06754147,2,2017.Mar.29 19:09:48,xx@mm.com,df,sdf,df,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc0655ef59c8.06754147,2,2017.Mar.29 19:10:09,xx@mm.com,,,,,,3.583333333,1.5,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc0655ef59c8.06754147,2,2017.Mar.29 19:10:16,xx@mm.com,df,sdf,df,0,1,3.583333333,1.5,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc06f7059760.72034280,2,2017.Mar.29 19:12:12,sdf@gma.,,,,,,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc06f7059760.72034280,2,2017.Mar.29 19:12:18,sdf@gma.,d,d,d,e,1,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc06f7059760.72034280,2,2017.Mar.29 19:12:41,sdf@gma.,,,,,,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc06f7059760.72034280,2,2017.Mar.29 19:12:46,sdf@gma.,d,d,d,e,1,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc06f7059760.72034280,2,2017.Mar.29 19:13:40,sdf@gma.,,,,,,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc06f7059760.72034280,2,2017.Mar.29 19:13:45,sdf@gma.,d,d,d,e,1,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc06f7059760.72034280,2,2017.Mar.29 19:14:00,sdf@gma.,,,,,,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc077a5defe0.54533509,2,2017.Mar.29 19:14:02,sdf@gma.,,,,,,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc077a5defe0.54533509,2,2017.Mar.29 19:14:10,sdf@gma.,sd,d,d,d,,3.472222222,0.833333333,4,4,4,4,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc079bec93f7.73078661,2,2017.Mar.29 19:14:57,sdffff,,,,,,0.972222222,0.833333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#58dc079bec93f7.73078661,2,2017.Mar.29 19:15:03,sdffff,d,d,d,d,,0.972222222,0.833333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#58dc079bec93f7.73078661,2,2017.Mar.29 19:15:15,sdffff,,,,,,0.972222222,0.833333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#58dc0800d2ba64.47589898,2,2017.Mar.29 19:16:38,ere@dsf,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc0800d2ba64.47589898,2,2017.Mar.29 19:16:45,ere@dsf,y,y,y,y,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc085a636a72.72854995,2,2017.Mar.29 19:18:03,xxyyy,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc085a636a72.72854995,2,2017.Mar.29 19:18:09,xxyyy,o,o,o,o,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc089f1400b4.17529678,2,2017.Mar.29 19:19:12,sdfd,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc089f1400b4.17529678,2,2017.Mar.29 19:19:18,sdfd,dd,d,d,d,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc089f1400b4.17529678,2,2017.Mar.29 19:19:52,sdfd,,,,,,0.972222222,0.833333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#58dc089f1400b4.17529678,2,2017.Mar.29 19:21:09,sdfd,dd,d,d,d,,0.972222222,0.833333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#58dc092cb6efa0.78338786,2,2017.Mar.29 19:21:53,xcfd,,,,,,2.522222222,0.833333333,4,4,4,1.3,1,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#58dc092cb6efa0.78338786,2,2017.Mar.29 19:22:32,xcfd,d,d,d,d,,2.522222222,0.833333333,4,4,4,1.3,1,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#58dc09864680a0.75627512,2,2017.Mar.29 19:23:02,xyz@gmail.com,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc09864680a0.75627512,2,2017.Mar.29 19:23:13,xyz@gmail.com,sdfsd  sdfsd sdfsdf,dslfhsdfsdfhsdf,lsdf,sdfl,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
#58dc13d9b77515.32431583,2.0,2017.Mar.29 20:07:07,sdf,,,,,,0.96666666666667,1,1,1,1,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,
#58dc13d9b77515.32431583,2.0,2017.Mar.29 20:07:16,sdf,SDfsdf,dfkj,lkjdfsfd,d,,0.9666666666666668,1,1,1,1,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,
#58dc1437182da6.44862370,2.0,2017.Mar.29 20:08:41,sdf,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dc1437182da6.44862370,2.0,2017.Mar.29 20:08:49,sdf,Sam,jlkdf,sdf,12332ssdfsdf,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd79b8930f15.53081346,2.0,2017.Mar.30 21:33:52,df,,,,,,1.3507936507937,1.3333333333333,1.5714285714286,1.5,1,1.6,1.1,0,0,2,3,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,0,1,2,0,1,3,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,
#58dd79debbc9d0.62829097,2.0,2017.Mar.30 21:34:23,df,,,,,,1.3507936507937,1.3333333333333,1.5714285714286,1.5,1,1.6,1.1,0,0,2,3,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,0,1,2,0,1,3,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,
#58dd7a4e7b3eb1.82230601,2.0,2017.Mar.30 21:36:48,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7af6e28a37.07930228,2.0,2017.Mar.30 21:39:03,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7b046db5d3.14771143,2.0,2017.Mar.30 21:39:16,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7b3fe930a2.31388788,2.0,2017.Mar.30 21:40:16,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7b48864974.38021395,2.0,2017.Mar.30 21:40:24,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7b8c99a625.94107395,2.0,2017.Mar.30 21:41:33,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7bd0376e23.93444194,2.0,2017.Mar.30 21:42:40,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
#58dd7be7e80df4.03235175,2.0,2017.Mar.30 21:43:04,df,,,,,,0.97222222222222,0.83333333333333,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
